type,name,latitude,longitude
school,مركز روضه البيان,26.464962,50.051823
school,Tiny Dreams | مركز الأحلام الصغيرة,26.493567,50.038919
school,Rayaheen Al Toofowlah Kindergarten,26.442908,50.075635
school,حضانة شارع سمسم sesame street,26.439928,50.117824
school,Kids Steps,26.489497,50.123984
school,روضة |تمهيدي قرية الصغار الاهليه - KIDS VILLAGE,26.368631,50.087251
school,ديار المسك,26.451008,50.116291
school,اطفال الياسمين,26.417076,50.038166
school,مركز روائع الطفولة لضيافة الاطفال الاهلية,26.423499,50.116377
school,الرائدة لضيافة الأطفال الأهلية,26.465905,50.00218
school,مركز القرش الصغير لضيافة الاطفال,26.406155,50.029131
school,Kindergarten eighth in Dammam,26.444678,50.072353
school,Busy Bees Kids Center,26.35937,50.097071
school,بذرة,26.40143,50.108418
school,Gifted Hands حضانه الأنامل المبدعه,26.453817,50.110776
school,روضة النبراس - مركز أجيال النبراس,26.45697,49.995309
school,روضة -تمهيدي- مركز تفاحة لضيافة الأطفال الأهلية بضاحية الملك فهد,26.45149,50.006719
school,مركز الالوان الخمسة لضيافة الاطفال الاهلية,26.380643,50.039294
school,مركز كواكب الغد ضيافة اطفال بالفيحاء,26.438716,50.036901
school,فكر وإبداع,26.362652,50.062955
school,Kinder Valley Nursery & Preschool,26.371788,50.169972
school,مركز بكره احلى لضيافة الاطفال,26.419824,50.075533
school,مركز النجوم العالية لضيافة الأطفال,26.404775,50.115051
school,6th Kindergarten,26.432476,50.095492
school,مركز الطفل العالمي,26.411588,50.115367
school,روضة قلعة النور لضيافة الاطفال,26.363589,50.0539
school,Dar Al-Tufolah Private Schools,26.434173,50.111883
school,Dammam Nurseries,26.505166,49.969851
school,Nakhlah co. شركة نخلة الزراعية,26.465866,50.060442
school,مشتل زهرة الإكليل _ Rosemary Flower Nursery,26.472931,50.016105
school,Zaid Alhussain Nursery,26.486555,49.999172
school,WORLD PLANTS Nursery & Landscaping Est.,26.476649,50.01179
school,مشاتل لافندر | Lavender Nurseries,26.476771,50.01152
school,مركز الباندا لرعاية الأطفال,26.402621,50.099137
school,Noralia,26.473663,50.015002
school,MNS Garden,26.436663,50.065527
school,مشتل الهادف - فرع الدمام,26.476538,50.011869
school,Little Wings daycare center,26.401291,50.117638
school,Nursery Rayyan No. 1,26.488277,49.995308
school,روضه عالم الاطفال للتعلم(روضه و حضانه),26.464946,50.057682
school,Kayan Daycare,26.418513,50.102024
school,مشاتل الدمام طريق الجبيل,26.462334,50.027415
school,Canary Kidz كناري لضيافة الأطفال,26.396946,50.103271
school,House social nursery Dammam,26.444596,50.119528
school,Green Generosity of agriculture 2,26.487431,49.997128
school,مشتل عبق الياسمين,26.470997,50.019314
school,Nursery Grape Tree Agricultural,26.483045,50.004234
school,مشاتل عالم البلاد,26.412877,50.095417
school,Mama Meme Nursery,26.358999,50.201829
school,روضة وحضانة رواد التميز الأهلية,26.408424,50.115361
school,مركز لمة أطفال الأهلية,26.44391,50.071619
school,مركز ثراء الطفولة لضيافة الأطفال الأهليه,26.430346,50.03644
school,روضة الطفل المشرق,26.465178,50.057631
school,ALFaris Nursery مركز الفارس للأطفال,26.358351,49.98523
school,مركز عجائب صغيرة little wonders,26.468335,50.060639
school,المشاتل الحديثة نانبوو nanpoo Modern Nursery,26.476729,50.011543
school,مشاتل طوكيو للعشب الياباني,26.478197,50.031089
school,Ms. Lema nursery,26.439502,50.123827
school,Alhusni haraj,26.425773,50.062571
school,Discovery Town Center,26.49335,50.037487
school,مركز قطار الطفولة لضيافة الاطفال,26.397359,50.07085
school,مدارس حكاية نجم المستقبل,26.475178,50.046552
school,روضه,26.430699,50.087257
school,مشاتل اوراق الربيع الزراعيه طريق الجبيل الظهران السريع,26.461131,50.028165
school,مركز بلدة الصغار لضيافة الأطفال,26.394762,50.079235
school,نوادر الاطفال الاهليه ٢,26.43509,50.071125
school,مشتل عطر الياسمين للزرعه,26.400394,50.097485
school,مركز إثراء الإبداع لضيافة الأطفال,26.432344,50.07398
school,مركز ثريا لضيافة الاطفال الاهلية,26.439246,50.07555
school,"مدارس الحصان النموذجية الأهلية ""بنات""",26.447057,50.123374
school,Safwat Al Rowad School,26.370063,50.085442
school,مدرسة عالم التقدم العالمية,26.416643,50.100784
school,مدارس التهذيب للبنات,26.4604,50.051327
school,مدرسة منارات الدمام الأهلية,26.404302,50.112392
school,معهد التعليم الحديث للغات,26.458503,50.092798
school,Mecca Makkah secondary school,26.453286,50.090243
school,مدرسة نور الإسلام الأهلية,26.465137,50.126238
school,تابعة لشركة الحماد للمشاريع التعليمية القابضه,26.397631,50.099915
school,مدرسة البلدية الدمام,26.390919,50.086144
school,Tithkariyah School,26.433574,50.091418
school,مدارس النخبة العلمية الأهلية,26.459721,50.125651
school,Thirty First (31st) Intermediate School in Dammam,26.446591,50.078023
school,Saeed Bin Zaid Middle School,26.425794,50.07862
school,Ansar Private Schools for Girls,26.400553,50.075556
school,Community College Girls in Dammam,26.416007,50.11316
school,الباب الرئيسي لجامعة السعوديه الاكترونية بالدمام بنات,26.404934,50.088514
school,College of Science - Girls,26.404814,50.086102
school,Al Ghad International Colleges for Health Sciences,26.450512,50.083234
school,Prince Mohammad Bin Fahd University,26.144497,50.090961
school,College of Arts,26.405174,50.085006
school,جامعة الرصيف,26.46123,50.083005
school,College of Education (girls),26.400253,50.088457
school,Building 10,26.391225,50.186943
school,University of Dammam Faculty Housing,26.40449,50.177461
school,عمادة الدراسات العليا جامعة الإمام عبدالرحمن بن فيصل,26.392179,50.191699
school,Cambridge Institute of Learning,26.442492,50.107937
school,ادعولي اتزوج فطوم تدرس عندكم,26.405068,50.091226
school,كلية الاداب,26.402213,50.088092
school,College of Technology,26.378635,50.104702
school,بوابة الموظفات,26.402098,50.086777
school,Deputy Deanship of Student Affairs,26.405659,50.085049
school,مبنى البثوث كلية الآداب,26.402861,50.085851
school,Arab Cultural Institute,26.398039,50.116414
school,الكلية التقنية بكالوريوس,26.421268,50.066422
school,King Fahd Mosque,26.440954,50.102988
school,كلية البنات بالدمام,26.405712,50.086635
hospital,Arrawdha General Hospital,26.435415,50.118469
hospital,مستشفى المواساة - الدمام | Mouwasat Hospital - Dammam,26.410144,50.046176
hospital,Dammam Medical Complex,26.431669,50.08377
hospital,Almana Hospital Aziziah Dammam,26.455214,50.068021
hospital,King Fahad Specialist Hospital - Dammam.,26.412907,50.100813
hospital,Saudi German Hospital Dammam,26.378203,49.991598
hospital,Tadawi General Hospital,26.448096,50.122783
hospital,Dar As Sihha Medical Center - Dammam Branch,26.450325,50.087642
hospital,Clinic 9 Medical Center,26.467111,50.059738
hospital,Dar Afia Hospital | مستشفى دار عافية,26.461237,50.073476
hospital,Almana Hospital Dammam,26.412668,50.115584
hospital,Central Hospital ER,26.433153,50.083804
hospital,Safa Medical Center Dammam,26.44063,50.100093
hospital,Security Forces Hospital Dammam,26.410887,50.011402
hospital,AlFaraby Medical Center - Dammam,26.414432,50.078265
hospital,Mouwasat Hospital - Khobar,26.345072,50.186715
hospital,Ahmadi Medical Complex,26.403055,50.052432
hospital,مجمع ملاذ الخليج الطبي,26.420984,50.024025
hospital,Maternity And Children Hospital,26.406705,50.104484
hospital,Dammam Private Medical Complex,26.422177,50.105049
hospital,Shifa Al-Dammam Polyclinics Company,26.440236,50.063309
hospital,Rubban Medical Center,26.471708,50.046603
hospital,مستشفى الصادق,26.489356,50.039992
hospital,Al Rai Medical Complex,26.397782,50.04183
hospital,Al Madlouh Medical Complex,26.474866,50.044343
hospital,البرج الطبي المبنى رقم ١,26.43132,50.083826
hospital,Healthcare Polyclinic dammam,26.442424,50.097634
hospital,Abeer Medical Center - Dammam مركز العبير الطبي - دمام,26.444278,50.094055
hospital,Badr Medical Center Dammam,26.441161,50.116594
hospital,مستشفى الحسن النعمي ، العيادات الخارجية,26.424586,50.087705
hospital,Dammam Private Medical Complex 2,26.45428,50.020654
hospital,The Emergency,26.412399,50.101493
hospital,AL RYAN POLYCLINIC DAMMAM مجمع عيادات الريان المتميزة الطبي,26.443499,50.094758
hospital,مستشفى د. خالد الرحيمي,26.400418,50.096454
hospital,Canadian Medical Center المركز الكندي الطبي,26.408555,50.05837
hospital,KFSH Dammam - The Recreation Center,26.411094,50.101298
hospital,Mouwasat Hospital doctor's accomodation,26.411403,50.047173
hospital,AlWajha Specialist Medical Complex,26.408607,50.070682
hospital,Fajar Al Dammam Medical Complex,26.427539,50.072989
hospital,Saud Al Babtain Cardiac Center,26.432259,50.083741
hospital,مستشفى سيجل,26.436856,50.11845
hospital,Gama Hospital,26.370863,50.174763
hospital,التجمع الصحي الأول بالمنطقة الشرقية,26.407361,50.107153
hospital,Al Saif Medical Center مجمع السيف الطبي,26.471,50.063408
hospital,King Fahd Military Medical Complex (KFMMC),26.320881,50.021318
hospital,Gastroenterologist clinic,26.412673,50.115542
hospital,"Abeer Medical Center, IKD, Dammam | مركز العبير الطبي، حي ابن خلدون، الدمام",26.423521,50.097643
hospital,Mouwasat Hospital - Dammam gate 20,26.410158,50.045672
hospital,Hospital,26.457645,50.047231
hospital,Al Taqwa Medical Complex,26.4529,50.106014
hospital,Granada Health Center,26.418238,50.07898
hospital,Gulf Asian Medical Center Dammam,26.442157,50.106058
hospital,Dar As-Salama Hospital,26.282762,50.212742
hospital,Maysan Medical Clinics,26.404253,50.083889
hospital,Children's Emergency,26.406297,50.10503
hospital,Pamburgerini,26.46182,50.065651
hospital,قسم الحركة بمستشفى الملك فهد التخصصي بالدمام,26.407755,50.103663
hospital,مجمع الدر الطبي التخصصي,26.487873,50.050148
hospital,Almana Oncology Center,26.412661,50.114744
hospital,Medical Fitness Center in Dammam,26.415932,50.064961
pharmacy,United Pharmacy - صيدلية المتحدة,26.443852,50.080464
pharmacy,Nahdi pharmacy | صيدليه النهدى,26.461393,50.049933
pharmacy,صيدلية ليمون,26.480749,50.046404
pharmacy,United Pharmacy - صيدلية المتحدة,26.45962,50.061202
pharmacy,Al-Dawaa Pharmacy 363,26.475715,50.057008
pharmacy,صيدلية الدواء,26.489433,50.040067
pharmacy,Wafa Dammam Pharmacy,26.440592,50.100094
pharmacy,Al Dawaa Pharmacy,26.44628,50.096834
pharmacy,صيدلية كيرلاين Care Line Pharmacy,26.487758,50.050067
pharmacy,Nahdi pharmacy | صيدليه النهدى,26.43654,50.096989
pharmacy,صيدلية الدواء,26.473979,50.044404
pharmacy,United Pharmacy - صيدلية المتحدة,26.486906,50.052384
pharmacy,Al Rawda Pharmacy,26.435743,50.118278
pharmacy,Al-Dawaa Pharmacy,26.425158,50.096922
pharmacy,صيدلية الدواء,26.430783,50.104373
pharmacy,صيدلية فارما هوم العنود pharma home pharmacy,26.443497,50.07558
pharmacy,Lemon Pharmacy | صيدلية ليمون,26.453141,50.105979
pharmacy,صيدلية الدواء,26.458562,50.051063
pharmacy,Nahdi pharmacy | صيدليه النهدى,26.410008,50.080397
pharmacy,صيدلية الدواء,26.454736,50.080803
pharmacy,Exceer Pharmacy,26.488523,50.038362
pharmacy,صيدلية الدواء,26.4844,50.052502
pharmacy,صيدلية الدواء,26.464192,50.025766
pharmacy,Lemon Pharmacy | صيدلية ليمون,26.466753,50.092446
pharmacy,United Pharmacy - صيدلية المتحدة,26.436701,50.084136
pharmacy,Nahdi pharmacy | صيدليه النهدى‎,26.438374,50.078464
pharmacy,صيدلية الدواء,26.459349,50.093444
pharmacy,Al Ahmadi Pharmacy,26.403186,50.052636
pharmacy,Nahdi pharmacy | صيدليه النهدى,26.459407,50.095735
pharmacy,United Pharmacy - صيدلية المتحدة,26.410058,50.110674
pharmacy,صيدلية الدواء,26.435938,50.088313
pharmacy,صيدلية الدواء 157,26.433069,50.08279
pharmacy,Exceer Pharmacy,26.488216,50.047774
pharmacy,صيدلية الدواء,26.456481,50.101645
pharmacy,Zahrat Al Rawdah Pharmacy 326 صيدلية زهرة الروضة,26.440079,50.101259
pharmacy,Nahdi pharmacy | صيدليه النهدى,26.45262,50.118866
pharmacy,صيدلية الدواء,26.464839,50.092114
pharmacy,صيدلية الدواء,26.419276,50.07521
pharmacy,Nahdi pharmacy | صيدليه النهدى,26.416001,50.115185
pharmacy,صيدليه ليمون سيهات,26.484594,50.053329
pharmacy,صيدلية الدواء,26.41492,50.117081
pharmacy,Nahdi pharmacy | صيدليه النهدى,26.448397,50.122846
pharmacy,صيدلية الدواء,26.435917,50.065738
pharmacy,صيدلية زهرة الروضة Zahrat Al Rawdah Pharmacy 318,26.42342,50.07193
pharmacy,صيدلية الدواء,26.456604,50.115662
pharmacy,Nahdi pharmacy | صيدليه النهدى,26.461471,50.073398
pharmacy,صيدلية الدواء,26.424214,50.087201
pharmacy,صيدلية اكسير Exceer Pharmacy 18,26.468812,50.044938
pharmacy,صيدلية النور,26.433859,50.082494
pharmacy,Zahrat Al Rawdah Pharmacy 327 صيدلية زهرة الروضة,26.423519,50.093874
pharmacy,صيدلية الدواء,26.412754,50.116146
pharmacy,Zahrat Al Rawdah Pharmacy 310 صيدلية زهرة الروضة,26.429357,50.07631
pharmacy,Nahdi pharmacy | صيدليه النهدى,26.424513,50.081687
pharmacy,Al-Dawaa Pharmacies #74,26.394521,50.104819
pharmacy,صيدلية الدواء,26.412414,50.096536
pharmacy,صيدلية اكسير Exceer Pharmacy 10,26.453544,50.064483
pharmacy,صيدلية الدواء,26.398533,50.047019
pharmacy,Nahdi pharmacy | صيدليه النهدى,26.370176,50.081723
pharmacy,صيدلية الدواء,26.456448,50.128843
pharmacy,Wahat Al-Quds Pharmacy - صيدلية واحة القدس,26.412851,50.116206
clinic,Dammam National Medical Complex,26.434023,50.082658
clinic,Royal Medical Complex,26.410306,50.080145
clinic,Health United Polyclinic مجمع صحة المتحدة الطبي,26.457672,50.047129
clinic,عيادات رويال الطبية,26.452182,50.118979
clinic,عيادات اهالينا الطبية - فرع الزهور بالدمام,26.45019,50.096353
clinic,Sola Care Dental & Derma Clinics,26.461632,50.067723
clinic,Ram Clinics | عيادات رام,26.469787,50.059919
clinic,مجمع بسمات الشرقية الطبي فرع الشاطئ,26.481518,50.126785
clinic,Padi Clinic| عيادات بداية الطفل لطب أسنان الأطفال - سيهات,26.486761,50.051142
clinic,مجمع تبسم بلس الطبي,26.469611,50.045623
clinic,Nova Dental Clinics,26.432101,50.067389
clinic,Ram Clinics | عيادات رام,26.413992,50.096557
clinic,مركز التركيز السريع للتأهيل الطبي,26.481522,50.040974
clinic,مركز الدواء الأمثل للحجامة | Al-Dawaa Cupping Center,26.434048,50.084494
clinic,My health cupping center,26.436797,50.083612
clinic,"المهيدب لطب الأسنان,المحمدية(الدمام)",26.464743,50.061114
clinic,بي كلينيك B Clinic,26.463126,50.063224
clinic,Dammam Dispensary,26.422024,50.104321
clinic,HealthMe,26.482381,50.054349
clinic,مجمع مكياس الطبي Mikyas Medical Complex,26.439695,50.119083
clinic,Cham Dental & Derma Clinics,26.412497,50.097167
clinic,Ekleel Dental Clinic,26.474471,50.047797
clinic,Dammam Scan Center,26.436665,50.118295
clinic,عيادة بيوتي بتس البيطرية,26.423405,50.093563
clinic,مركز التميز للعلاج الطبيعي,26.41266,50.096336
clinic,عيادة صحة الرجل,26.413533,50.096753
clinic,عيادة أوبال الماسيّ,26.495862,50.042104
clinic,مجمع عيادات الحقيل الدمام,26.405521,50.101726
clinic,Al Dukhair Clinic,26.423793,50.097639
clinic,Primary Care Center,26.417424,50.110929
clinic,عيادات المسواك الطبية,26.417196,50.109747
clinic,Altabeeb Medical Center,26.457933,50.080741
clinic,Burj AlShifa Medical Complex مجمع برج الشفاء الطبي,26.42057,50.02689
clinic,Health & Life Polyclinic مجمع الصحة و الحياة الطبي,26.393634,50.033161
clinic,مجمع المزايا المتقدمة,26.427612,50.038403
clinic,مركز رزان الطبي- razan medical establishment,26.432462,50.085613
clinic,Jamiyin Medical Center,26.39541,50.098239
clinic,"Abeer Medical Center, IKD, Dammam",26.423521,50.097639
clinic,Ashraqat Medical Center,26.445614,50.079825
clinic,Al Aziziyah Medical Center,26.456836,50.064062
clinic,مركز صحي العدامة Adamah Primary Healthcare Center,26.438192,50.100853
clinic,مستوصف الأحمدي الطبي,26.413333,50.04074
clinic,Lama Medical Center,26.379731,50.058509
clinic,مجمع إكسير الطبي,26.460734,50.077658
clinic,Almubarakiya Health Center,26.473693,50.093646
clinic,Basma Al Thuraya Medical Complex,26.360664,50.06594
clinic,Alfaisaliyah Health Center,26.398205,50.070256
clinic,Health Center Mazroue'yah,26.44263,50.124755
clinic,Almanaa medical center,26.243586,49.983441
clinic,Ram Clinics | عيادات رام,26.459472,50.086958
clinic,Durrat Alalami Dammam - مجمع درة العالمي لطب الأسنان فرع الدمام,26.423952,50.032805
clinic,عيادات شام,26.398518,50.047032
clinic,عيادات العلاج التخصصي لطب وتقويم الأسنان - Specialist Dental Treatment Center,26.441836,50.12081
clinic,مجمع بانوراما الطبي,26.459373,50.09436
clinic,مجمع عيادات الدار البيضاء لطب وتقويم و زراعه الاسنان,26.459287,50.061206
clinic,Ram Clinics | عيادات رام,26.452562,50.123688
clinic,Nova dental clinic,26.413733,50.031073
clinic,AJ Smile Dental Center,26.460228,50.077456
clinic,صفوة المهيدب لطب الاسنان الدمام حي الجلوية,26.433872,50.066667
clinic,eastern smiles medical clinics,26.422709,50.028485
clinic,مجمع عيادات بيتر شاين لطب الاسنان BETTER SHINE DENTAL CLINIC,26.369152,50.080319
clinic,‏Creative Dental Center,26.408721,50.05804
clinic,Avicena Dental ابن سينا لطب الأسنان دكتور فادي فلوح,26.452607,50.123055
clinic,Modern Dental Center,26.420052,50.086686
clinic,عاجي لطب الأسنان,26.404256,50.054654
clinic,Ram Clinics | عيادات رام,26.39212,50.047339
clinic,مجمع عيادات ابتسامة السن الطبي,26.439105,50.126607
clinic,Nova Dental Complex,26.413628,50.031132
clinic,مجمع عيادات بيرل الدمام,26.366559,50.070203
clinic,صفوة المهيدب لطب الاسنان الدمام حي احد,26.41662,50.051418
clinic,Segal Dental,26.436813,50.118049
clinic,Nova Dental Clinic Dammam,26.381212,50.057064
clinic,"المهيدب لطب الأسنان,الفيصلية(الدمام)",26.383437,50.055812
clinic,Rand III medical complex | مجمع رند الثالث الطبي,26.524519,50.032192
