city_ar,district_ar,property_type_ar,growth_pct,growth_source,growth_confidence,yoy_growth_last_year_pct,yoy_volatility_3y,last_year
الدمام,الدمام/ الشعلة,قطعة أرض-سكنى,-24.37,district,high,-24.37,0.0,2026.0
الدمام,الدمام/ الصفا,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,الدمام/ الصفا,قطعة أرض-سكنى,10.4,district,high,10.4,0.0,2026.0
الدمام,الدمام/ الضباب,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,الدمام/ الضباب,قطعة أرض-زراعي,0.0,default,low,,,
الدمام,الدمام/ الضباب,قطعة أرض-سكنى,-5.65,district,high,-5.65,0.0,2026.0
الدمام,الدمام/ العدامة,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,الدمام/ العدامة,قطعة أرض-سكنى,-1.06,district,high,-1.06,0.0,2026.0
الدمام,الدمام/ العروبة,قطعة أرض-سكنى,11.43,district,high,11.43,0.0,2026.0
الدمام,الدمام/ العزيزية,قطعة أرض-سكنى,-2.5,district,high,-2.5,0.0,2026.0
الدمام,الدمام/ العمامرة,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,الدمام/ العمامرة,قطعة أرض-سكنى,-11.91,district,high,-11.91,0.0,2026.0
الدمام,الدمام/ العنود,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,الدمام/ العنود,قطعة أرض-سكنى,51.36,district,high,51.36,0.0,2026.0
الدمام,الدمام/ الفيحاء,قطعة أرض-تجارى,-25.55,district,high,-25.55,0.0,2026.0
الدمام,الدمام/ الفيحاء,قطعة أرض-سكنى,-5.72,district,high,-5.72,0.0,2026.0
الدمام,الدمام/ الفيصلية,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,الدمام/ الفيصلية,قطعة أرض-زراعي,0.0,default,low,,,
الدمام,الدمام/ الفيصلية,قطعة أرض-سكنى,4.17,district,high,4.17,0.0,2026.0
الدمام,الدمام/ القادسية,قطعة أرض-سكنى,-15.63,district,high,-15.63,0.0,2026.0
الدمام,الدمام/ القزاز,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,الدمام/ القزاز,قطعة أرض-سكنى,35.43,district,high,35.43,0.0,2026.0
الدمام,الدمام/ القصور,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,الدمام/ القصور,قطعة أرض-سكنى,0.81,district,high,0.81,0.0,2026.0
الدمام,الدمام/ المزروعية,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,الدمام/ المزروعية,قطعة أرض-سكنى,-7.65,district,high,-7.65,0.0,2026.0
الدمام,الدمام/ المنار,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,الدمام/ المنار,قطعة أرض-سكنى,-3.61,district,high,-3.61,0.0,2026.0
الدمام,الدمام/ المنتزة,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,الدمام/ المنتزة,قطعة أرض-سكنى,-12.46,district,high,-12.46,0.0,2026.0
الدمام,الدمام/ المنتزه,قطعة أرض-تجارى,-32.57,district,high,-32.57,0.0,2026.0
الدمام,الدمام/ المنتزه,قطعة أرض-سكنى,16.34,district,high,16.34,0.0,2026.0
الدمام,الدمام/ الميناء,قطعة أرض-تجارى,3.82,district,high,3.82,0.0,2026.0
الدمام,الدمام/ الميناء,قطعة أرض-سكنى,-0.38,district,high,-0.38,0.0,2026.0
الدمام,الدمام/ الناصرية,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,الدمام/ الناصرية,قطعة أرض-سكنى,-6.66,district,high,-6.66,0.0,2026.0
الدمام,الدمام/ النخيل,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,الدمام/ النخيل,قطعة أرض-سكنى,55.11,district,high,55.11,0.0,2026.0
الدمام,الدمام/ الندى,قطعة أرض-تجارى,-20.94,district,high,-20.94,0.0,2026.0
الدمام,الدمام/ الندى,قطعة أرض-سكنى,25.55,district,high,25.55,0.0,2026.0
الدمام,الدمام/ النهضة,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,الدمام/ النهضة,قطعة أرض-سكنى,5.33,district,high,5.33,0.0,2026.0
الدمام,الدمام/ النور,قطعة أرض-تجارى,-2.56,district,high,-2.56,0.0,2026.0
الدمام,الدمام/ النور,قطعة أرض-سكنى,7.86,district,high,7.86,0.0,2026.0
الدمام,الدمام/ النورس,قطعة أرض-تجارى,7.34,city,medium,,,
الدمام,الدمام/ النورس,قطعة أرض-سكنى,-10.03,district,high,-10.03,0.0,2026.0
